id,relbase_code,relbase_name,official_sku,product_id,match_type,confidence_level,mapping_notes,total_sales,first_seen_date,last_seen_date,inferred_category,inferred_variant,is_service_item,is_legacy_code,needs_manual_review,created_at,updated_at,description,product_id_relbase,url_image
341,GRCA_U26010_EM,UD GRANOLA CACAO 260 GRS ESP,MLC2930070644,276,name_fuzzy,medium,Fuzzy match: Granola Cacao 260g → Granola Grana Cacao 260 G Bolsa Semillas (84%),2,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:26:56.219705,EMPORIO,4950137,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/4950137/images/small_thumb_grana-cacao-01_33558375-357f-4f77-b036-d94756dca249.png?X-Amz-Expires=3600&X-Amz-Date=20251020T224539Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=5162123b48200e81eaac3daec8a1d5a3ad44e1fb0236de99d045ac1333b6e281
327,CRPM_U12010,Cracker Pimienta 120 gr,CRAA_U13510,282,name_fuzzy,medium,Fuzzy match: Crackers 120g → Crackers Keto Ajo Albahaca 135 grs (76%),1,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:27:37.837934,,6533361,
317,BAKC_U64010_EM,UD BARRA KETO CACAO DP 16 UDS ESP,BACM_U04010,286,name_fuzzy,high,Fuzzy match: Barra Cacao → Barra Low Carb Cacao Maní - 1 unidad (100%),1,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:28:09.734006,EMPORIO,4950097,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/4950097/images/small_thumb_barrito-keto_a39b8ac2-1180-498b-9c48-98aa6599b410.png?X-Amz-Expires=3600&X-Amz-Date=20251020T224547Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=5f774b5d532b6c4ae2ff1be83376853cdebe07ddbd04516a3c78196185a10597
58,250,Granola Keto Nuez 2 kilos,GRKC_U21010,275,name_fuzzy,high,Fuzzy match: Granola Nuez → Granola Keto Nuez 210 grs (100%),2,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:26:48.585495,,6533402,
343,KEEPER_PIONEROS,Pack Keeper x 10 Edición especial Pioneros,KSMC_U03010,36,name_fuzzy,high,Fuzzy match: Keeper → Keeper Chocolate Maní 30 gr - 1 unidad (100%),278,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,7012630,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/7012630/images/small_thumb_keeper_pionero.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T235557Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=1f761bbd3cc755dd41cf8bb3d41b202bf623d5f6315140eb1306bac73e7e5840
28,KSMC_U03010,,KSMC_U03010,33,exact,high,,187,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,6882437,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6882437/images/small_thumb_keeper_mani_recorte.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T220857Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=4fbfd29811f9bf40d80909e11f25e2ab1397e2ebe247f3c4084ee657c8aa1e44
22,CRSM_U02510,,CRSM_U02510,25,exact,high,,3,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,6544627,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6544627/images/small_thumb_captura_de_pantalla_2025-03-14_a_la_s__9.45.13_a.m..png?X-Amz-Expires=3600&X-Amz-Date=20251020T220857Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=e83d51ec42b13bdb788834dc6115dddeb7ea5a0b14410265ee3c847303c6da3a
210,ANU-EMPORIO_BAketo5ud,Barrita Keto Display 5 uds20250314201457.211222,,,no_match,none,,8,,,,,False,True,True,2025-10-21 17:33:30.003158,2025-10-23 13:24:28.026347,,4031402,
352,R-R-86752,Refacturacion,,258,no_match,none,,8,,,,,False,False,True,2025-10-21 17:33:30.003158,2025-11-06 15:25:37.088397,"Refacturación facturas reclamas retail / N° Caso 422709
",6890282,
350,PACK_KEEPERS_4X5,PACK_KEEPERS_4X5,,285,no_match,none,,1,,,,,False,False,True,2025-10-21 17:33:30.003158,2025-11-06 15:28:06.119964,,6882440,
23,CRSM_U13510,,CRSM_U13510,26,exact,high,,185,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054880,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054880/images/small_thumb_CRACKER_SAL_DE_MAR_CUADRADA.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T220857Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=3505813c9cd6d6f385783c4bd2be5fe08255821c61afb9be3b694571a837b2ad
18,CRAA_U13510,,CRAA_U13510,30,exact,high,,163,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054929,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054929/images/small_thumb_CRACKER_AJO_ALBAHACA_FONDO_BLANCO_CUADRADA.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T220857Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=c9bfe526135570c3df2c8256fb7d7188e7005857e9d46db65487f2f399c797be
25,GRBE_U26010,,GRBE_U26010,8,exact,high,,67,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054339,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054339/images/small_thumb_GRANOLA_BERRIES_JPG_CUADRADA.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T220857Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=15050b541137ba5330deecde29726914e348fe81505e31e6c61faf7276c63e6c
21,CRRO_U13510,,CRRO_U13510,28,exact,high,,223,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054923,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054923/images/small_thumb_CRACKER_ROMERO_CUADRADA.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T220857Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=45732135946de49dca0d40e4862947d9b3d795278f317bdfca06595b32607c7d
85,ANU-6662808095,GRANA CACAO20250314201500.123872,BACM_U04010,10,description_fuzzy,high,Fuzzy match: Cacao → Barra Low Carb Cacao Maní - 1 unidad (100%),167,,,,,False,True,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,1286572,
20,CRPM_U13510,,CRPM_U13510,27,exact,high,,159,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054886,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054886/images/small_thumb_CRACKER_PIMIENTA_CUADRADA.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T220857Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=b960522d6b0b25c67a59021a4dc39dd70c45cf7b33f2d5e90acdbbbbb835c7ea
14,BAKC_U64010,,BAKC_U64010,14,exact,high,,148,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054871,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054871/images/small_thumb_BARRA_KETO_16_UDS_FONDO_BLANCO_CUADRADA.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T220858Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=00abbbe77e6ff1cc769faa7e381b68ce01783422348c6729dbd1ba5970918255
11,BACM_U64010,,BACM_U64010,11,exact,high,,80,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054861,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054861/images/small_thumb_BARRA_CACAO_16_UDS_FONDO_BLANCO_CUADRADA.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T220858Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=0cd0d64a7f51c7557e12d28559f4a7fee0fa5d7aeff9223d5a857a2077d904bb
17,BAMC_U64010,,BAMC_U64010,22,exact,high,,83,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054867,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054867/images/small_thumb_BARRA_MANZANA_16_UDS_JPG_CUADRADA.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T220859Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=777f43b64797da7be08e4bfb4fa9e6fa1898cca6ac6a7c2f16837cb67febbeb2
221,ANU-EMPORIO_GRAclásica260,Granola Clásica 260 grs20250314201500.542291,GRA-250-001,2,description_fuzzy,high,Fuzzy match: Granola 260g → Granola 250g (92%),6,,,,,False,True,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,4031323,
26,GRCA_U26010,,GRCA_U26010,23,exact,high,,120,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054319,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054319/images/small_thumb_granola_cacao_fondo_blanco_cuadrada.png?X-Amz-Expires=3600&X-Amz-Date=20251020T220859Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=31ac2e735af9c562e36b9faa0add4dd077cc25d9363b911e17a637a5c77a68e4
8,BABE_U20010,,BABE_U20010,31,exact,high,,230,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,6533377,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6533377/images/small_thumb_grana_5_barras_cuadrado_1.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T220859Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=11449ef8d76bb289c07e9be724abe411dae524e5b4e39937504ba6d9dfb918f3
15,BAMC_U04010,,BAMC_U04010,21,exact,high,,86,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054554,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054554/images/small_thumb_BARRA_MANZANA_UNIDAD_FONDO_TRANSPARENTE_CUADRADA.png?X-Amz-Expires=3600&X-Amz-Date=20251020T220900Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=efc41da38316ffbd25c03e6848622fa7c9c7bfe433ef5c937b03eb0cb1fb9908
9,BACM_U04010,,BACM_U04010,10,exact,high,,109,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054465,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054465/images/small_thumb_BARRA_CACAO_MAN%C3%8D_PNG_FONDO_TRANSPARENTE_CUADRADA.png?X-Amz-Expires=3600&X-Amz-Date=20251020T220900Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=bc00179ad5baff7f44479aab78e230e9654d443d8b6bc16a60f33330e9287475
12,BAKC_U04010,,BAKC_U04010,13,exact,high,,114,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054577,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054577/images/small_thumb_BARRA_KETO_UD_FONDO_BLANCO_CUADRADA.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T220900Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=d27b87416c3ed046db94c4eef960b5a89959dd36db35d8715c1d4a516da266a3
7,BABE_U04010,,BABE_U04010,32,exact,high,,141,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,6533338,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6533338/images/small_thumb_large_thumb_barrita-low-carb-sour-berries.png?X-Amz-Expires=3600&X-Amz-Date=20251020T220904Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=e70d081ebf00a9ab068753c91b6a1a3f408a202e02310582896da3e0d2d97a9e
27,GRKC_U21010,,GRKC_U21010,19,exact,high,,146,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054365,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054365/images/small_thumb_GRANOLA_KETO_JPG_CUADRADA.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T220908Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=e080de878b89814041cfcf0c7faacc02c3c4091bfa1249961f062d358fdd37e8
24,GRAL_U26010,,GRAL_U26010,7,exact,high,,132,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-10-25 21:06:29.700440,,5054130,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/5054130/images/small_thumb_GRANOLA_ALMENDRAS_PNG_FONDO_BLANCO_CUADRADA.png?X-Amz-Expires=3600&X-Amz-Date=20251020T220908Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=1ae047246c7e1154ae4b032109a43d0fec2a28037a293ed98efffb315046adbe
51,CRSM_C01010,,CRSM_U13510,248,caja_master,high,,34,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:24:32.656857,CAJA MASTER CON 10 DISPLAYS DE CRACKERS KETO SAL DE MAR EN DISPLAYS DE 135 GRS,6544896,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6544896/images/small_thumb_captura_de_pantalla_2025-03-14_a_la_s__11.32.48_a.m..png?X-Amz-Expires=3600&X-Amz-Date=20251020T220900Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=7395f7d12cd60830deb11b9a98b8c5dede67dc3f58abdb58c7496e3c1fd3d23e
49,CRRO_C01010,,CRRO_U13510,250,caja_master,high,,33,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:24:38.223379,CAJA MASTER CON 10 DISPLAYS DE CRACKERS KETO ROMERO EN DISPLAYS DE 135 GRS,6544914,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6544914/images/small_thumb_captura_de_pantalla_2025-03-14_a_la_s__11.32.29_a.m..png?X-Amz-Expires=3600&X-Amz-Date=20251020T220900Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=9242f602eddd21967339aea6fba3f023e8ddf53723929b3de6a4188cc15b089f
45,BAKC_C02810,,BAKC_U20010,251,caja_master,high,,32,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:24:39.763300,CAJA MASTER CON 28 DISPLAYS DE BARRAS KETO NUEZ EN DISPLAYS DE 5 UNIDADES,6544795,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6544795/images/small_thumb_caja_master_barritas_5_uds_keto.png?X-Amz-Expires=3600&X-Amz-Date=20251020T220903Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=efd0d1b25a4c99803e1b4cb1f2bae0e6f7b7ec6908284e8a09e465f1a081561e
47,CRAA_C01010,,CRAA_U13510,252,caja_master,high,,27,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:24:46.006325,CAJA MASTER CON 10 DISPLAYS DE CRACKERS KETO AJO ALBAHACA EN DISPLAYS DE 135 GRS,6544934,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6544934/images/small_thumb_captura_de_pantalla_2025-03-14_a_la_s__11.31.01_a.m..png?X-Amz-Expires=3600&X-Amz-Date=20251020T220900Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=b82c190c89ed56abccfbe493f44b5a4afd21d67cbd10d06bd84b6a18863a93db
46,BAMC_C02810,,BAMC_U20010,254,caja_master,high,,21,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:24:55.311004,CAJA MASTER CON 28 DISPLAYS DE BARRAS LOW CARB MANZANA CANELA EN DISPLAYS DE 5 UNIDADES,6544812,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6544812/images/small_thumb_caja_master_barritas_5_uds_manzana.png?X-Amz-Expires=3600&X-Amz-Date=20251020T220903Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=14f865a790234aa23cb98e3aa62021902860fafac5a650bad23e7902e6a1cd34
338,GENERAL,Productos varios,,257,no_match,none,,10,,,,,False,False,True,2025-10-21 17:33:30.003158,2025-11-06 15:25:21.921449,,6533362,
